ANCSIZE	ANCBOT	NAIN	NANO	NASO	NIN	NNO	NSO	T1	TS	TBOT	TDIV	T2	MaxEstLhood	MaxObsLhood	AIC	deltaL	model	MIG01	MIG02	MIG10	MIG12	MIG20	MIG21
82728	46053	65775	19918	27474	201300	997222	594791	13	3465	17	3479	3495	-541561.892	-532509.647	2494006.6789057027	9052.244999999995	no_mig	NA	NA	NA	NA	NA	NA
733529	30790	135161	28858	16257	189715	869998	603007	10153	208	2	10361	10362	-541573.606	-532509.647	2494060.6238692617	9063.959000000032	no_mig	NA	NA	NA	NA	NA	NA
654712	54070	211643	30759	26101	140355	655698	435945	1200	8980	3	10180	10182	-541518.136	-532509.647	2493805.175079045	9008.48900000006	no_mig	NA	NA	NA	NA	NA	NA
567848	16313	101483	34025	66707	206192	1004737	631383	67	5370	3	5437	5440	-541585.117	-532509.647	2494113.633983272	9075.469999999972	no_mig	NA	NA	NA	NA	NA	NA
54882	205757	86405	66813	84865	228086	1072149	729538	1617	3555	41123	5172	46295	-536845.683	-532509.647	2472287.7338280138	4336.035999999964	no_mig	NA	NA	NA	NA	NA	NA
54867	202699	88592	52863	16983	203751	973331	664159	1498	3698	39563	5196	44759	-536840.3180000001	-532509.647	2472263.0270899665	4330.671000000089	no_mig	NA	NA	NA	NA	NA	NA
53880	216619	65617	79969	79823	213817	1171389	711720	5414	1600	53768	7013	60782	-536824.827	-532509.647	2472191.6883986155	4315.180000000051	no_mig	NA	NA	NA	NA	NA	NA
53869	151304	94805	82328	42153	213037	1007276	612597	16	4283	15706	4299	20005	-537742.629	-532509.647	2476418.322805655	5232.98199999996	no_mig	NA	NA	NA	NA	NA	NA
52901	206568	84304	69017	23452	210726	1022671	686672	1005	3829	37347	4834	42181	-536856.06	-532509.647	2472335.5216790345	4346.413000000059	no_mig	NA	NA	NA	NA	NA	NA
49616	197455	59158	70339	45079	273113	1438325	929169	3950	2147	52168	6098	58266	-536738.51	-532509.647	2471794.183923671	4228.863000000012	no_mig	NA	NA	NA	NA	NA	NA
45315	177183	71476	75971	63019	221893	1169475	717243	1252	3137	35693	4389	40082	-536787.4560000001	-532509.647	2472019.588583595	4277.809000000125	no_mig	NA	NA	NA	NA	NA	NA
44782	174548	71759	51534	38493	190120	924297	648420	1456	3022	37270	4478	41748	-536808.786	-532509.647	2472117.8168636616	4299.1389999999665	no_mig	NA	NA	NA	NA	NA	NA
43510	167064	66146	27221	71302	229358	1107934	755512	1609	2769	35370	4378	39748	-536805.464	-532509.647	2472102.5184883038	4295.817000000039	no_mig	NA	NA	NA	NA	NA	NA
43068	168176	67070	64426	47847	202661	1033114	638614	1291	2918	34559	4209	38768	-536813.3420000001	-532509.647	2472138.798019029	4303.695000000065	no_mig	NA	NA	NA	NA	NA	NA
41438	165906	63943	58369	43462	237380	1216931	740232	1337	2828	33157	4165	37321	-536798.522	-532509.647	2472070.5493968725	4288.875	no_mig	NA	NA	NA	NA	NA	NA
41009	160370	65899	15828	66758	207114	1141013	711246	792	3118	30019	3910	33929	-536832.107	-532509.647	2472225.214037569	4322.459999999963	no_mig	NA	NA	NA	NA	NA	NA
40412	164049	63899	60151	68508	218504	1146249	755984	1291	2766	36796	4057	40853	-536796.93	-532509.647	2472063.2179659368	4287.283000000054	no_mig	NA	NA	NA	NA	NA	NA
39559	153087	63617	71440	64050	187598	1035606	651277	1018	2881	31553	3899	35451	-536824.007	-532509.647	2472187.9121590625	4314.359999999986	no_mig	NA	NA	NA	NA	NA	NA
39362	163277	63098	28326	62995	188384	987590	658039	1002	2891	32019	3893	35912	-536834.0160000001	-532509.647	2472234.005307454	4324.369000000064	no_mig	NA	NA	NA	NA	NA	NA
39208	161325	57158	66124	44596	193596	924700	600105	1344	2326	32774	3670	36444	-536764.1460000001	-532509.647	2471912.2420665594	4254.499000000069	no_mig	NA	NA	NA	NA	NA	NA
382167	29582	113909	41785	63445	236963	1101085	698640	80	6005	8	6085	6093	-541582.529	-532509.647	2494101.7158028306	9072.881999999983	no_mig	NA	NA	NA	NA	NA	NA
37862	149008	58068	43538	19752	209680	1003026	689455	1149	2562	30877	3711	34589	-536793.258	-532509.647	2472046.3077810137	4283.6110000000335	no_mig	NA	NA	NA	NA	NA	NA
37794	148315	60153	39319	15806	197351	992914	624352	1088	2683	30531	3771	34301	-536811.49	-532509.647	2472130.2692438443	4301.8429999999935	no_mig	NA	NA	NA	NA	NA	NA
374365	38509	130357	28959	20365	213962	1011169	718298	67	6964	6	7031	7037	-541574.4060000001	-532509.647	2494064.3080054107	9064.759000000078	no_mig	NA	NA	NA	NA	NA	NA
36662	143935	55711	70600	70832	190975	961898	605422	1119	2458	33124	3576	36700	-536782.528	-532509.647	2471996.894304918	4272.881000000052	no_mig	NA	NA	NA	NA	NA	NA
358038	22807	63970	45994	41740	143636	694095	466998	7747	85	3	7832	7835	-541567.3500000001	-532509.647	2494031.8139245785	9057.703000000096	no_mig	NA	NA	NA	NA	NA	NA
34301	133955	50270	52055	70549	213322	1253141	659621	1409	2252	30949	3661	34610	-536767.256	-532509.647	2471926.564145838	4257.609000000055	no_mig	NA	NA	NA	NA	NA	NA
341636	47679	139687	46201	61664	151401	761438	454542	347	7116	11	7463	7474	-541577.005	-532509.647	2494076.2768427236	9067.358000000007	no_mig	NA	NA	NA	NA	NA	NA
34112	130447	51711	41233	78740	233945	1180836	789236	1176	2343	28070	3519	31590	-536783.1849999999	-532509.647	2471999.91990173	4273.537999999942	no_mig	NA	NA	NA	NA	NA	NA
33696	128623	53207	76628	67227	205738	1067128	678080	953	2455	27160	3408	30568	-536782.7119999999	-532509.647	2471997.7416562317	4273.064999999944	no_mig	NA	NA	NA	NA	NA	NA
33546	126203	50542	78358	70731	231229	1198738	728915	915	2309	28870	3224	32094	-536767.143	-532509.647	2471926.043761607	4257.496000000043	no_mig	NA	NA	NA	NA	NA	NA
