chrom	start	end	num	list	genes	prop	max_ihs	prop_xpehh_no	max_xpehh_no	prop_xpnsl_no	max_xpnsl_no	prop_xpehh_so	max_xpehh_so	prop_xpnsl_so	max_xpnsl_so	n_snp
BLFC01000326	1750001	1800001	5	12345	adig_s0038.g93; PGES2_BOVIN; DNJA1_PONAB; HM20A_MOUSE	0.9225806451612903	5.72426	0.860813704496788	6.96388	0.4660956459671663	4.80884	0.9821556031406139	7.58019	0.40756602426837973	4.62527	1401
BLFC01000326	1550001	1600001	5	12345	USF_AQUPY; ODR4_CHICK; adig_s0038.g83; adig_s0038.g81	0.8391959798994975	5.20472	0.6150576806314512	8.19078	0.2750455373406193	5.34011	0.726775956284153	8.25517	0.34365513054037644	5.4794	1647
BLFC01000706	350001	400001	5	12345	adig_s0094.g9	0.7692307692307693	2.73529	0.6636363636363637	5.67309	0.41818181818181815	4.29809	0.7272727272727273	6.09671	0.6090909090909091	3.96774	110
BLFC01000706	900001	950001	5	12345	adig_s0094.g25	0.6335877862595419	3.13826	0.6306306306306306	5.89483	0.3213213213213213	4.42822	0.7297297297297297	6.42424	0.4444444444444444	4.29292	333
BLFC01000690	2750001	2800001	5	12345	Y1388_SYNY3; NUD19_XENLA; RT33_MOUSE; adig_s0030.g221; CMC_DICDI; CNTRL_HUMAN; CRB_DROME	0.4577259475218659	5.00831	0.35566809505259056	5.84954	0.2824308531359564	5.02076	0.4698091156992598	7.00459	0.3361901051811453	5.31349	2567
BLFC01000074	100001	150001	5	12345	HUTU_MOUSE; CATC_HUMAN; HUTH_BOVIN; ODPB_MOUSE; HUTH_BOVIN	0.4309859154929577	4.11944	0.44019933554817275	5.34612	0.2364341085271318	4.46488	0.2807308970099668	4.93621	0.24916943521594684	4.38623	1806
BLFC01000729	150001	200001	5	12345	NIPA2_PONAB; LRC51_BOVIN; HEPHL_ACRMI; TM216_BOVIN; adig_s0124.g8	0.42323651452282157	4.72274	0.8168693009118541	7.62466	0.5630699088145896	5.22596	0.8320668693009119	7.99409	0.6056231003039514	6.0263	1316
BLFC01000770	1200001	1250001	5	12345	adig_s0003.g71; RPAP3_HUMAN; CBPB2_MOUSE	0.39344262295081966	3.8011	0.5100788781770377	5.99316	0.6240140227870289	7.00035	0.5056967572304996	5.96761	0.5977212971078002	6.46156	1141
BLFC01000653	2050001	2100001	5	12345	CB042_MOUSE; TISB_RAT; INO80_MOUSE; ACAP3_HUMAN; RA51B_HUMAN	0.35129310344827586	4.89261	0.4994600431965443	6.00011	0.38174946004319654	5.13186	0.7375809935205183	5.95163	0.6220302375809935	5.64479	1852
BLFC01000326	1800001	1850001	4	2345	adig_s0038.g97; NPFF2_MOUSE; adig_s0038.g99; QOR_HUMAN; HM20A_MOUSE	0.9375	3.78674	0.8247694334650857	6.58213	0.3695652173913043	4.66486	0.7266139657444005	5.92276	0.23978919631093545	4.34861	1518
BLFC01000706	950001	1000001	4	2345	FCN2_HUMAN	0.5396825396825397	4.23296	0.6218905472636815	5.79277	0.31343283582089554	4.33732	0.5323383084577115	5.62485	0.29850746268656714	5.22138	201
BLFC01000706	300001	350001	4	2345	adig_s0094.g8	0.5	2.20125	0.39057239057239057	6.18988	0.2053872053872054	4.51287	0.5454545454545454	5.95586	0.24242424242424243	4.18509	297
BLFC01000639	1300001	1350001	4	2345	PXDN_MOUSE; AP4B1_HUMAN; adig_s0017.g57; RNK_DROME; BECN1_PIG	0.41353383458646614	5.29992	0.5190697674418605	6.47922	0.6837209302325581	6.01578	0.5748837209302325	8.19841	0.4502325581395349	6.43629	1075
BLFC01000404	1000001	1050001	4	2345	adig_s0020.g95; TPRGL_BOVIN; OPN4_PODSI; adig_s0020.g97; NU188_MOUSE	0.38137082601054484	3.89515	0.5897777777777777	7.31672	0.268	5.4051	0.6106666666666667	7.90846	0.32	5.02483	2250
BLFC01000690	2800001	2850001	4	1234	adig_s0030.g221; GFI1_RAT; SNAPN_HUMAN; adig_s0030.g222; ACADM_BOVIN	0.3528428093645485	4.9162	0.3187149413564508	6.58052	0.16828148903620602	5.55028	0.22488526262111166	6.74202	0.098419173890872	5.07032	1961
BLFC01000413	150001	200001	4	1234	COBA2_HUMAN; SUOX_HUMAN; PTPRF_MOUSE; COHA1_BOVIN	0.3320610687022901	3.71916	0.18058592041976387	5.41707	0.13117621337997376	4.53463	0.1569742020113686	4.74574	0.09269785745518146	4.70529	2287
BLFC01000039	100001	150001	4	2345	SEPT8_XENTR; MICU3_MOUSE; LRBA_MOUSE	0.2867332382310984	3.41632	0.680406852248394	7.10167	0.6836188436830836	6.00688	0.6027837259100642	6.17456	0.5428265524625268	4.99096	1868
BLFC01000653	2100001	2150001	4	2345	adig_s0034.g145; MTRR_RAT; COHA1_BOVIN; MTMR2_DANRE; RA51B_HUMAN	0.2641509433962264	3.99518	0.8807692307692307	6.68004	0.6283653846153846	5.54642	0.9182692307692307	7.44181	0.6889423076923077	6.13082	2080
BLFC01000368	800001	850001	4	2345	NICN1_MOUSE; HNK2_XENLA; XRN2_MOUSE; adig_s0025.g56	0.26	3.90265	0.1724137931034483	5.56899	0.1434729064039409	4.24214	0.20935960591133004	5.3935	0.14963054187192118	4.28076	1624
BLFC01000265	200001	250001	4	2345	ASGL1_MACFA; SNTB1_HUMAN; COHA1_MOUSE; CP087_DANRE; IMPA1_BOVIN; adig_s0125.g21	0.2189239332096475	3.35575	0.28169014084507044	5.60559	0.2991549295774648	5.61834	0.21690140845070421	5.39888	0.3143661971830986	5.01837	1775
BLFC01000706	750001	800001	4	2345	no genes in this region	0.16	2.21649	0.4957983193277311	5.39054	0.6638655462184874	4.22466	0.2689075630252101	5.70762	0.29411764705882354	3.8986	119
BLFC01000375	1200001	1250001	4	2345	ANO1_HUMAN; adig_s0052.g77; adig_s0052.g78; ANO4_MOUSE; ANO1_HUMAN; ANO4_MOUSE	0.15132605304212168	4.0249	0.6396780303030303	6.86678	0.15056818181818182	4.44034	0.6022727272727273	6.99159	0.18986742424242425	4.52275	2112
BLFC01000309	2950001	3000001	4	2345	AVIL_MOUSE; PK1IP_MOUSE; GELS_HOMAM; TM9S3_HUMAN; PAX2_MOUSE	0.12912087912087913	4.69451	0.17479074347612014	5.49136	0.17035942885278188	4.86753	0.4076809453471196	6.64161	0.17872968980797638	4.27819	2031
BLFC01000770	650001	700001	4	2345	adig_s0003.g29; ZN862_HUMAN; adig_s0003.g30; adig_s0003.g31	0.12162162162162163	4.07938	0.2104499274310595	5.14751	0.25834542815674894	5.15704	0.2888243831640058	5.31726	0.23367198838896952	4.25464	689
BLFC01000185	900001	1050001	4	2345	HBP1_MOUSE; S27A1_MOUSE; MAGI3_MOUSE; HMA2_ORYSJ; adig_s0062.g79; RXR_LYMST; SARDH_RAT; S27A4_MACFA; S27A4_MACFA; DAXX_CANLF; WDR47_MOUSE; STX6_MOUSE; LOXH1_MOUSE; SCMC2_XENTR	0.10361613351877608	5.59731	0.2895344363216622	5.8063	0.3122354751827626	5.71124	0.4772989611388996	7.67276	0.4113120430934975	7.10183	5198
